YYYY-MM,ELRW_USQNT
2015-01,1886030.0
2015-02,1731060.0
2015-03,1524769.0
2015-04,1513409.0
2015-05,1401869.0
2015-06,1452207.0
2015-07,1552473.0
2015-08,1793482.0
2015-09,1544223.0
2015-10,1357458.0
2015-11,1414353.0
2015-12,1656018.0
2016-01,1813808.0
2016-02,1832265.0
2016-03,1603241.0
2016-04,1437708.0
2016-05,1341685.0
2016-06,1474646.0
2016-07,1582091.0
2016-08,1879336.0
2016-09,1555669.0
2016-10,1349273.0
2016-11,1399917.0
2016-12,1602200.0
2017-01,1783215.0
2017-02,1760691.0
2017-03,1083100.0
2017-04,1039538.0
2017-05,992140.0
2017-06,1078297.0
2017-07,1275160.0
2017-08,1284114.0
2017-09,1099568.0
2017-10,1342232.0
2017-11,890245.0
2017-12,1522444.0
2018-01,1795413.0
2018-02,1861341.0
2018-03,1605812.0
2018-04,1443074.0
2018-05,1353355.0
2018-06,1422865.0
2018-07,1522479.0
2018-08,2014284.0
2018-09,1747126.0
2018-10,1287578.0
2018-11,1351012.0
2018-12,1455337.0
2019-01,1796663.0
2019-02,1705172.0
2019-03,1587470.0
2019-04,1504383.0
2019-05,1480196.0
2019-06,1521924.0
2019-07,1646325.0
2019-08,1830154.0
2019-09,1907790.0
2019-10,1517323.0
2019-11,1180000.0
2019-12,1275693.0
2020-01,1383810.0
2020-02,1416669.0
2020-03,1378771.0
2020-04,1280872.0
2020-05,1286418.0
2020-06,1299065.0
2020-07,1402659.0
2020-08,1421176.0
2020-09,1319696.0
2020-10,1026131.0
2020-11,1074366.0
2020-12,1150611.0
2021-01,1336709.0
2021-02,1343545.0
2021-03,1180110.0
2021-04,1130644.0
2021-05,1092657.0
2021-06,1172790.0
2021-07,1312399.0
2021-08,1460121.0
2021-09,1283197.0
2021-10,1129959.0
2021-11,1082547.0
2021-12,1120257.0
2022-01,1278438.0
2022-02,1297148.0
2022-03,1218899.0
2022-04,1167268.0
2022-05,1091093.0
2022-06,1130870.0
2022-07,1273391.0
2022-08,1421462.0
2022-09,1301049.0
2022-10,1177274.0
2022-11,1121712.0
2022-12,1154141.0
