YYYY-MM,ELRW_USQNT
2015-01,1362513.0
2015-02,1325580.0
2015-03,1161136.0
2015-04,1162124.0
2015-05,1062873.0
2015-06,1080579.0
2015-07,1063447.0
2015-08,1376434.0
2015-09,1187562.0
2015-10,1042397.0
2015-11,1120566.0
2015-12,1203080.0
2016-01,1319045.0
2016-02,1347312.0
2016-03,1173810.0
2016-04,1133239.0
2016-05,1036889.0
2016-06,1092413.0
2016-07,1172892.0
2016-08,1511628.0
2016-09,1308041.0
2016-10,1095607.0
2016-11,1168384.0
2016-12,1281391.0
2017-01,1413037.0
2017-02,1452038.0
2017-03,801256.0
2017-04,787056.0
2017-05,704695.0
2017-06,737214.0
2017-07,917155.0
2017-08,981094.0
2017-09,912393.0
2017-10,871053.0
2017-11,972445.0
2017-12,1122465.0
2018-01,1198004.0
2018-02,1236936.0
2018-03,982614.0
2018-04,959249.0
2018-05,884377.0
2018-06,942897.0
2018-07,996902.0
2018-08,1284597.0
2018-09,1063726.0
2018-10,846764.0
2018-11,964906.0
2018-12,1090527.0
2019-01,1209628.0
2019-02,1186488.0
2019-03,987728.0
2019-04,1003879.0
2019-05,894768.0
2019-06,943408.0
2019-07,980536.0
2019-08,1209972.0
2019-09,1078166.0
2019-10,902153.0
2019-11,969189.0
2019-12,1106243.0
2020-01,1069543.0
2020-02,1045890.0
2020-03,904763.0
2020-04,907015.0
2020-05,853616.0
2020-06,933554.0
2020-07,919382.0
2020-08,1036590.0
2020-09,736294.0
2020-10,552534.0
2020-11,859482.0
2020-12,941199.0
2021-01,1056949.0
2021-02,1000611.0
2021-03,830239.0
2021-04,851205.0
2021-05,791972.0
2021-06,870132.0
2021-07,945714.0
2021-08,1109966.0
2021-09,931801.0
2021-10,834872.0
2021-11,878034.0
2021-12,949899.0
2022-01,1082988.0
2022-02,1033830.0
2022-03,872350.0
2022-04,889368.0
2022-05,832975.0
2022-06,913492.0
2022-07,1076984.0
2022-08,1192603.0
2022-09,1027916.0
2022-10,872545.0
2022-11,924726.0
2022-12,1050699.0
