YYYY-MM,CTY_GAS_USQNT
2015-01,4799777.0
2015-02,4698920.0
2015-03,3973819.0
2015-04,3313895.0
2015-05,1980685.0
2015-06,1210898.0
2015-07,793523.0
2015-08,797369.0
2015-09,578221.0
2015-10,886355.0
2015-11,1259002.0
2015-12,2752157.0
2016-01,3885948.0
2016-02,4903783.0
2016-03,4161330.0
2016-04,3232720.0
2016-05,1675442.0
2016-06,1145959.0
2016-07,773758.0
2016-08,729301.0
2016-09,579989.0
2016-10,896830.0
2016-11,1287572.0
2016-12,3369540.0
2017-01,4221199.0
2017-02,4898000.0
2017-03,4107694.0
2017-04,3590942.0
2017-05,1954374.0
2017-06,1286020.0
2017-07,780829.0
2017-08,718297.0
2017-09,577981.0
2017-10,862945.0
2017-11,1239462.0
2017-12,3428551.0
2018-01,4580744.0
2018-02,5304020.0
2018-03,4285326.0
2018-04,3136710.0
2018-05,1914089.0
2018-06,1257962.0
2018-07,818148.0
2018-08,728447.0
2018-09,540604.0
2018-10,936185.0
2018-11,1810152.0
2018-12,3163469.0
2019-01,4573900.0
2019-02,4797371.0
2019-03,3920844.0
2019-04,3177068.0
2019-05,1876804.0
2019-06,1337460.0
2019-07,920673.0
2019-08,808933.0
2019-09,626281.0
2019-10,905234.0
2019-11,1473793.0
2019-12,1401693.0
2020-01,4219229.0
2020-02,4618138.0
2020-03,3815842.0
2020-04,3144271.0
2020-05,2147319.0
2020-06,1229575.0
2020-07,803423.0
2020-08,890021.0
2020-09,266698.0
2020-10,344293.0
2020-11,1642390.0
2020-12,2670833.0
2021-01,4367390.0
2021-02,4479191.0
2021-03,3218310.0
2021-04,2290187.0
2021-05,1450919.0
2021-06,1037682.0
2021-07,711557.0
2021-08,565901.0
2021-09,534179.0
2021-10,668759.0
2021-11,1555458.0
2021-12,2795094.0
2022-01,4181111.0
2022-02,4623346.0
2022-03,3780778.0
2022-04,2711106.0
2022-05,1587559.0
2022-06,1005640.0
2022-07,699918.0
2022-08,582406.0
2022-09,598500.0
2022-10,780363.0
2022-11,1577567.0
2022-12,2718851.0
