YYYY-MM,CTY_GAS_USQNT
2015-01,548442.0
2015-02,488314.0
2015-03,403914.0
2015-04,337244.0
2015-05,206323.0
2015-06,123686.0
2015-07,118142.0
2015-08,116144.0
2015-09,100181.0
2015-10,127792.0
2015-11,177224.0
2015-12,320921.0
2016-01,444357.0
2016-02,545577.0
2016-03,480295.0
2016-04,353903.0
2016-05,186603.0
2016-06,136816.0
2016-07,106431.0
2016-08,105349.0
2016-09,102288.0
2016-10,120114.0
2016-11,214497.0
2016-12,405557.0
2017-01,557893.0
2017-02,635243.0
2017-03,297200.0
2017-04,274329.0
2017-05,146268.0
2017-06,116425.0
2017-07,104426.0
2017-08,99795.0
2017-09,86891.0
2017-10,118265.0
2017-11,179853.0
2017-12,364066.0
2018-01,518265.0
2018-02,518471.0
2018-03,458136.0
2018-04,326351.0
2018-05,184213.0
2018-06,117009.0
2018-07,103652.0
2018-08,100782.0
2018-09,102092.0
2018-10,101518.0
2018-11,220561.0
2018-12,344138.0
2019-01,500134.0
2019-02,490109.0
2019-03,383141.0
2019-04,331738.0
2019-05,216866.0
2019-06,119331.0
2019-07,101105.0
2019-08,117353.0
2019-09,98370.0
2019-10,112645.0
2019-11,180909.0
2019-12,148056.0
2020-01,404908.0
2020-02,361395.0
2020-03,295342.0
2020-04,232347.0
2020-05,163195.0
2020-06,94614.0
2020-07,100683.0
2020-08,85815.0
2020-09,68301.0
2020-10,86698.0
2020-11,167625.0
2020-12,272191.0
2021-01,431954.0
2021-02,439514.0
2021-03,324088.0
2021-04,226095.0
2021-05,135412.0
2021-06,123560.0
2021-07,90626.0
2021-08,95904.0
2021-09,74524.0
2021-10,83809.0
2021-11,151303.0
2021-12,296395.0
2022-01,425909.0
2022-02,450612.0
2022-03,348052.0
2022-04,256479.0
2022-05,126359.0
2022-06,87460.0
2022-07,105286.0
2022-08,105478.0
2022-09,102536.0
2022-10,109503.0
2022-11,179251.0
2022-12,267701.0
