YYYY-MM,ELRW_USQNT
2015-01,859908.0
2015-02,832523.0
2015-03,681288.0
2015-04,631330.0
2015-05,492856.0
2015-06,495746.0
2015-07,503845.0
2015-08,576303.0
2015-09,498415.0
2015-10,487056.0
2015-11,599493.0
2015-12,748921.0
2016-01,813875.0
2016-02,811703.0
2016-03,669875.0
2016-04,583902.0
2016-05,497900.0
2016-06,510171.0
2016-07,530822.0
2016-08,639252.0
2016-09,504753.0
2016-10,476021.0
2016-11,590328.0
2016-12,695316.0
2017-01,771220.0
2017-02,776440.0
2017-03,521103.0
2017-04,496484.0
2017-05,416356.0
2017-06,426423.0
2017-07,508193.0
2017-08,517419.0
2017-09,439821.0
2017-10,453070.0
2017-11,587008.0
2017-12,689910.0
2018-01,739040.0
2018-02,748778.0
2018-03,548443.0
2018-04,522519.0
2018-05,456244.0
2018-06,484038.0
2018-07,560057.0
2018-08,648104.0
2018-09,491570.0
2018-10,456353.0
2018-11,550369.0
2018-12,655260.0
2019-01,751582.0
2019-02,682892.0
2019-03,501036.0
2019-04,528472.0
2019-05,457651.0
2019-06,474946.0
2019-07,492175.0
2019-08,602659.0
2019-09,496964.0
2019-10,456194.0
2019-11,529676.0
2019-12,629349.0
2020-01,641033.0
2020-02,605168.0
2020-03,492929.0
2020-04,464921.0
2020-05,417129.0
2020-06,463681.0
2020-07,446689.0
2020-08,509752.0
2020-09,455062.0
2020-10,420863.0
2020-11,497228.0
2020-12,597485.0
2021-01,673862.0
2021-02,607399.0
2021-03,466683.0
2021-04,455509.0
2021-05,417143.0
2021-06,454605.0
2021-07,503983.0
2021-08,522326.0
2021-09,438948.0
2021-10,427548.0
2021-11,488276.0
2021-12,565147.0
2022-01,687773.0
2022-02,658027.0
2022-03,496391.0
2022-04,465217.0
2022-05,413090.0
2022-06,445057.0
2022-07,538446.0
2022-08,551687.0
2022-09,457345.0
2022-10,428550.0
2022-11,491096.0
2022-12,635844.0
