YYYY-MM,CTY_GAS_USQNT
2015-01,6009755.0
2015-02,5622910.0
2015-03,4782752.0
2015-04,3562923.0
2015-05,2072431.0
2015-06,1281419.0
2015-07,1108973.0
2015-08,1154157.0
2015-09,1126179.0
2015-10,1098831.0
2015-11,1458909.0
2015-12,2988308.0
2016-01,4854667.0
2016-02,6246408.0
2016-03,5154268.0
2016-04,3557847.0
2016-05,1767672.0
2016-06,1269180.0
2016-07,1200226.0
2016-08,1338858.0
2016-09,1424121.0
2016-10,1100307.0
2016-11,1742076.0
2016-12,3759373.0
2017-01,5331832.0
2017-02,6395503.0
2017-03,4610231.0
2017-04,3611535.0
2017-05,1841641.0
2017-06,1228974.0
2017-07,1160876.0
2017-08,1246677.0
2017-09,1330835.0
2017-10,1025231.0
2017-11,1621200.0
2017-12,3652155.0
2018-01,5555913.0
2018-02,6461877.0
2018-03,5272672.0
2018-04,3568740.0
2018-05,2158922.0
2018-06,1639160.0
2018-07,1511692.0
2018-08,1693851.0
2018-09,1655630.0
2018-10,1467014.0
2018-11,2159327.0
2018-12,3403470.0
2019-01,5685297.0
2019-02,5990227.0
2019-03,4528097.0
2019-04,3673179.0
2019-05,2509672.0
2019-06,1522232.0
2019-07,1434076.0
2019-08,1621093.0
2019-09,1549331.0
2019-10,1425516.0
2019-11,1804110.0
2019-12,1324455.0
2020-01,5274398.0
2020-02,5405926.0
2020-03,4503169.0
2020-04,3037322.0
2020-05,1977272.0
2020-06,1277149.0
2020-07,1237592.0
2020-08,1229891.0
2020-09,1078876.0
2020-10,738655.0
2020-11,1752373.0
2020-12,3123022.0
2021-01,5339615.0
2021-02,5655352.0
2021-03,3863769.0
2021-04,2942702.0
2021-05,1726615.0
2021-06,1242863.0
2021-07,1199747.0
2021-08,1255410.0
2021-09,1139452.0
2021-10,1032986.0
2021-11,1751489.0
2021-12,3036904.0
2022-01,4652553.0
2022-02,5465886.0
2022-03,4425799.0
2022-04,3147074.0
2022-05,1626462.0
2022-06,1147194.0
2022-07,1160868.0
2022-08,1261330.0
2022-09,1146485.0
2022-10,1150096.0
2022-11,1799107.0
2022-12,2904222.0
