YYYY-MM,CTY_GAS_USQNT
2015-01,193813.0
2015-02,174257.0
2015-03,161134.0
2015-04,121298.0
2015-05,79186.0
2015-06,48002.0
2015-07,37341.0
2015-08,37742.0
2015-09,39037.0
2015-10,46380.0
2015-11,84751.0
2015-12,120884.0
2016-01,172448.0
2016-02,203081.0
2016-03,175233.0
2016-04,133772.0
2016-05,76176.0
2016-06,52769.0
2016-07,37350.0
2016-08,45541.0
2016-09,41772.0
2016-10,54154.0
2016-11,87925.0
2016-12,152904.0
2017-01,179943.0
2017-02,219788.0
2017-03,192349.0
2017-04,140297.0
2017-05,98024.0
2017-06,68374.0
2017-07,72103.0
2017-08,114117.0
2017-09,118914.0
2017-10,80870.0
2017-11,107851.0
2017-12,186900.0
2018-01,257966.0
2018-02,291424.0
2018-03,224532.0
2018-04,190210.0
2018-05,129260.0
2018-06,108120.0
2018-07,91523.0
2018-08,98529.0
2018-09,125121.0
2018-10,83512.0
2018-11,148200.0
2018-12,207834.0
2019-01,302246.0
2019-02,327004.0
2019-03,241471.0
2019-04,231759.0
2019-05,167284.0
2019-06,137824.0
2019-07,123429.0
2019-08,136888.0
2019-09,132058.0
2019-10,135317.0
2019-11,139040.0
2019-12,105171.0
2020-01,319450.0
2020-02,314227.0
2020-03,271020.0
2020-04,279543.0
2020-05,179900.0
2020-06,120530.0
2020-07,121532.0
2020-08,123030.0
2020-09,149772.0
2020-10,125603.0
2020-11,201590.0
2020-12,273466.0
2021-01,442353.0
2021-02,526265.0
2021-03,382927.0
2021-04,265719.0
2021-05,148323.0
2021-06,114806.0
2021-07,121442.0
2021-08,126796.0
2021-09,123297.0
2021-10,113585.0
2021-11,183263.0
2021-12,274868.0
2022-01,471527.0
2022-02,509596.0
2022-03,455012.0
2022-04,274318.0
2022-05,216744.0
2022-06,104361.0
2022-07,109620.0
2022-08,99769.0
2022-09,106657.0
2022-10,96336.0
2022-11,117294.0
2022-12,172106.0
