YYYY-MM,ELRW_USQNT
2015-01,1274039.0
2015-02,1228980.0
2015-03,1033030.0
2015-04,1053981.0
2015-05,975416.0
2015-06,1068428.0
2015-07,1142433.0
2015-08,1316545.0
2015-09,1220352.0
2015-10,1060517.0
2015-11,1080772.0
2015-12,1156295.0
2016-01,1293690.0
2016-02,1329872.0
2016-03,1159478.0
2016-04,1091525.0
2016-05,1003063.0
2016-06,1090256.0
2016-07,1188761.0
2016-08,1383652.0
2016-09,1280431.0
2016-10,1106360.0
2016-11,1099365.0
2016-12,1176685.0
2017-01,1303122.0
2017-02,1321418.0
2017-03,1048208.0
2017-04,1036473.0
2017-05,950847.0
2017-06,1045274.0
2017-07,1175131.0
2017-08,1292852.0
2017-09,1206107.0
2017-10,1029151.0
2017-11,1056156.0
2017-12,1173899.0
2018-01,1253405.0
2018-02,1307398.0
2018-03,1050267.0
2018-04,1010708.0
2018-05,945658.0
2018-06,1046068.0
2018-07,1165720.0
2018-08,1396038.0
2018-09,1264869.0
2018-10,1048426.0
2018-11,1109459.0
2018-12,1185723.0
2019-01,1342674.0
2019-02,1315858.0
2019-03,1085281.0
2019-04,1101461.0
2019-05,999842.0
2019-06,1069613.0
2019-07,1152880.0
2019-08,1370027.0
2019-09,1287301.0
2019-10,1095715.0
2019-11,1072141.0
2019-12,1137609.0
2020-01,1239649.0
2020-02,1211269.0
2020-03,1052903.0
2020-04,1008499.0
2020-05,940191.0
2020-06,1076953.0
2020-07,1170863.0
2020-08,1265800.0
2020-09,1307440.0
2020-10,1059302.0
2020-11,1043986.0
2020-12,1120146.0
2021-01,1288062.0
2021-02,1266092.0
2021-03,1042802.0
2021-04,1027580.0
2021-05,956617.0
2021-06,1053840.0
2021-07,1199492.0
2021-08,1337559.0
2021-09,1210565.0
2021-10,1097203.0
2021-11,1078134.0
2021-12,1130721.0
2022-01,1329140.0
2022-02,1336035.0
2022-03,1121453.0
2022-04,1062474.0
2022-05,953996.0
2022-06,1048042.0
2022-07,1213073.0
2022-08,1450709.0
2022-09,1318224.0
2022-10,1112438.0
2022-11,1017895.0
2022-12,1182143.0
