YYYY-MM,CTY_GAS_USQNT
2015-01,8481825.0
2015-02,8553748.0
2015-03,6918948.0
2015-04,5668761.0
2015-05,2751178.0
2015-06,2270497.0
2015-07,1935087.0
2015-08,2239017.0
2015-09,2071060.0
2015-10,1785475.0
2015-11,1886913.0
2015-12,4436411.0
2016-01,7078230.0
2016-02,9124211.0
2016-03,7406268.0
2016-04,6135843.0
2016-05,2703941.0
2016-06,2129455.0
2016-07,1772731.0
2016-08,2476598.0
2016-09,2178566.0
2016-10,1714986.0
2016-11,2065625.0
2016-12,5405759.0
2017-01,7497882.0
2017-02,9204491.0
2017-03,7381225.0
2017-04,6242649.0
2017-05,2971121.0
2017-06,1909781.0
2017-07,1561059.0
2017-08,2484167.0
2017-09,2087962.0
2017-10,1866454.0
2017-11,2211115.0
2017-12,5689257.0
2018-01,8360995.0
2018-02,9663990.0
2018-03,7868880.0
2018-04,5695838.0
2018-05,2905767.0
2018-06,2081241.0
2018-07,1602435.0
2018-08,2128979.0
2018-09,2017762.0
2018-10,1622896.0
2018-11,2634862.0
2018-12,5056191.0
2019-01,8112729.0
2019-02,9043383.0
2019-03,7420468.0
2019-04,5712137.0
2019-05,3794339.0
2019-06,2069026.0
2019-07,1804454.0
2019-08,2413548.0
2019-09,2250888.0
2019-10,1977973.0
2019-11,2425396.0
2019-12,1110681.0
2020-01,7903972.0
2020-02,8543241.0
2020-03,7011451.0
2020-04,6005651.0
2020-05,4005314.0
2020-06,1989749.0
2020-07,1725206.0
2020-08,1963916.0
2020-09,1414390.0
2020-10,1153657.0
2020-11,2740928.0
2020-12,5085233.0
2021-01,8263255.0
2021-02,9742793.0
2021-03,6871790.0
2021-04,5679677.0
2021-05,2896960.0
2021-06,2211238.0
2021-07,1505310.0
2021-08,2292018.0
2021-09,2095182.0
2021-10,1811767.0
2021-11,2720388.0
2021-12,4971103.0
2022-01,7707701.0
2022-02,8809746.0
2022-03,8015092.0
2022-04,5710049.0
2022-05,2653953.0
2022-06,1635754.0
2022-07,1328526.0
2022-08,1643351.0
2022-09,1455887.0
2022-10,1228650.0
2022-11,2287552.0
2022-12,3893187.0
