YYYY-MM,ELRW_USQNT
2015-01,584217.0
2015-02,558234.0
2015-03,461816.0
2015-04,422518.0
2015-05,354689.0
2015-06,382313.0
2015-07,394481.0
2015-08,478290.0
2015-09,388132.0
2015-10,350804.0
2015-11,422512.0
2015-12,514911.0
2016-01,529853.0
2016-02,535062.0
2016-03,440849.0
2016-04,381515.0
2016-05,339634.0
2016-06,370917.0
2016-07,385627.0
2016-08,478592.0
2016-09,384805.0
2016-10,326156.0
2016-11,399933.0
2016-12,480263.0
2017-01,527954.0
2017-02,514827.0
2017-03,365027.0
2017-04,316889.0
2017-05,256501.0
2017-06,275160.0
2017-07,323283.0
2017-08,331725.0
2017-09,274199.0
2017-10,244922.0
2017-11,337859.0
2017-12,411606.0
2018-01,439368.0
2018-02,447716.0
2018-03,321009.0
2018-04,308310.0
2018-05,274589.0
2018-06,298123.0
2018-07,354650.0
2018-08,432828.0
2018-09,311560.0
2018-10,280129.0
2018-11,345371.0
2018-12,409105.0
2019-01,467291.0
2019-02,439745.0
2019-03,346357.0
2019-04,335890.0
2019-05,282195.0
2019-06,293919.0
2019-07,317466.0
2019-08,408836.0
2019-09,321093.0
2019-10,281267.0
2019-11,323628.0
2019-12,393881.0
2020-01,418270.0
2020-02,401286.0
2020-03,327873.0
2020-04,306063.0
2020-05,278575.0
2020-06,321659.0
2020-07,308570.0
2020-08,371148.0
2020-09,314961.0
2020-10,275231.0
2020-11,328165.0
2020-12,395434.0
2021-01,445291.0
2021-02,401623.0
2021-03,312695.0
2021-04,302234.0
2021-05,279147.0
2021-06,312785.0
2021-07,359270.0
2021-08,373940.0
2021-09,298973.0
2021-10,278723.0
2021-11,319776.0
2021-12,370530.0
2022-01,441235.0
2022-02,413588.0
2022-03,315912.0
2022-04,302382.0
2022-05,276706.0
2022-06,316046.0
2022-07,379481.0
2022-08,396913.0
2022-09,313422.0
2022-10,337484.0
2022-11,372315.0
2022-12,481991.0
