YYYY-MM,CTY_GAS_USQNT
2015-01,2522674.0
2015-02,2345808.0
2015-03,2042992.0
2015-04,1513975.0
2015-05,913057.0
2015-06,525925.0
2015-07,444831.0
2015-08,461035.0
2015-09,475284.0
2015-10,484149.0
2015-11,764011.0
2015-12,1441747.0
2016-01,2158072.0
2016-02,2629040.0
2016-03,2221030.0
2016-04,1491869.0
2016-05,768788.0
2016-06,495290.0
2016-07,480004.0
2016-08,469804.0
2016-09,496414.0
2016-10,466565.0
2016-11,962404.0
2016-12,1813679.0
2017-01,2260243.0
2017-02,2660843.0
2017-03,1645615.0
2017-04,1260241.0
2017-05,660430.0
2017-06,437169.0
2017-07,315972.0
2017-08,421930.0
2017-09,454324.0
2017-10,350655.0
2017-11,669332.0
2017-12,1480615.0
2018-01,2046637.0
2018-02,2127966.0
2018-03,1784685.0
2018-04,1229364.0
2018-05,733727.0
2018-06,469285.0
2018-07,361403.0
2018-08,321113.0
2018-09,338264.0
2018-10,393413.0
2018-11,791331.0
2018-12,1276850.0
2019-01,1986651.0
2019-02,1966991.0
2019-03,1602465.0
2019-04,1330663.0
2019-05,800726.0
2019-06,494263.0
2019-07,429322.0
2019-08,471174.0
2019-09,429939.0
2019-10,383557.0
2019-11,648047.0
2019-12,1142387.0
2020-01,1933224.0
2020-02,2101619.0
2020-03,1783094.0
2020-04,1384585.0
2020-05,961150.0
2020-06,544563.0
2020-07,466182.0
2020-08,443532.0
2020-09,214523.0
2020-10,166405.0
2020-11,948489.0
2020-12,1562367.0
2021-01,2666387.0
2021-02,2365352.0
2021-03,1826960.0
2021-04,1288786.0
2021-05,804306.0
2021-06,549974.0
2021-07,410583.0
2021-08,355024.0
2021-09,388468.0
2021-10,381128.0
2021-11,866828.0
2021-12,1593540.0
2022-01,2235108.0
2022-02,2417156.0
2022-03,1964454.0
2022-04,1410428.0
2022-05,755821.0
2022-06,487570.0
2022-07,373031.0
2022-08,316217.0
2022-09,310974.0
2022-10,389400.0
2022-11,853473.0
2022-12,1475335.0
