YYYY-MM,ELRW_USQNT
2015-01,2157995.0
2015-02,2095565.0
2015-03,1728662.0
2015-04,1646200.0
2015-05,1450033.0
2015-06,1545533.0
2015-07,1625238.0
2015-08,1964069.0
2015-09,1713758.0
2015-10,1445361.0
2015-11,1579380.0
2015-12,1841647.0
2016-01,1890722.0
2016-02,2019262.0
2016-03,1695694.0
2016-04,1482057.0
2016-05,1302805.0
2016-06,1417082.0
2016-07,1405448.0
2016-08,1781128.0
2016-09,1546482.0
2016-10,1206452.0
2016-11,1324925.0
2016-12,1561446.0
2017-01,1741952.0
2017-02,1802708.0
2017-03,1223968.0
2017-04,1129721.0
2017-05,929443.0
2017-06,963581.0
2017-07,1184496.0
2017-08,1238308.0
2017-09,1095895.0
2017-10,1010371.0
2017-11,1131911.0
2017-12,1443224.0
2018-01,1616435.0
2018-02,1673448.0
2018-03,1270072.0
2018-04,1169396.0
2018-05,1013947.0
2018-06,1071387.0
2018-07,1206394.0
2018-08,1648257.0
2018-09,1327370.0
2018-10,954522.0
2018-11,1073713.0
2018-12,1312293.0
2019-01,1525637.0
2019-02,1463041.0
2019-03,1212767.0
2019-04,1206521.0
2019-05,1095653.0
2019-06,1105936.0
2019-07,1182237.0
2019-08,1498537.0
2019-09,1350891.0
2019-10,1070770.0
2019-11,1101735.0
2019-12,1328250.0
2020-01,1432926.0
2020-02,1421958.0
2020-03,1237940.0
2020-04,1205683.0
2020-05,1086889.0
2020-06,1159106.0
2020-07,1212138.0
2020-08,1325942.0
2020-09,859868.0
2020-10,610274.0
2020-11,1162514.0
2020-12,1389214.0
2021-01,1667989.0
2021-02,1640148.0
2021-03,1280896.0
2021-04,1226454.0
2021-05,1097134.0
2021-06,1189664.0
2021-07,1331037.0
2021-08,1693313.0
2021-09,1358486.0
2021-10,1134358.0
2021-11,1177307.0
2021-12,1334702.0
2022-01,1595939.0
2022-02,1572063.0
2022-03,1294941.0
2022-04,1200003.0
2022-05,1043210.0
2022-06,1112281.0
2022-07,1410790.0
2022-08,1567308.0
2022-09,1338627.0
2022-10,1100440.0
2022-11,1124294.0
2022-12,1332495.0
