YYYY-MM,ELRW_USQNT
2015-01,5475295.0
2015-02,5258600.0
2015-03,4337213.0
2015-04,4140102.0
2015-05,3497839.0
2015-06,3705424.0
2015-07,3888687.0
2015-08,4590919.0
2015-09,3909998.0
2015-10,3410941.0
2015-11,3757134.0
2015-12,4376987.0
2016-01,4990141.0
2016-02,4942570.0
2016-03,4049450.0
2016-04,3574271.0
2016-05,3187665.0
2016-06,3508561.0
2016-07,3855205.0
2016-08,4837772.0
2016-09,3846616.0
2016-10,3243955.0
2016-11,3788552.0
2016-12,4384070.0
2017-01,4902560.0
2017-02,4934220.0
2017-03,3345991.0
2017-04,3117622.0
2017-05,2755619.0
2017-06,2930529.0
2017-07,3607762.0
2017-08,3435600.0
2017-09,2766349.0
2017-10,2911479.0
2017-11,1889160.0
2017-12,3747460.0
2018-01,4669576.0
2018-02,4874658.0
2018-03,4008219.0
2018-04,3512876.0
2018-05,2962186.0
2018-06,2988174.0
2018-07,3254280.0
2018-08,4757398.0
2018-09,4154510.0
2018-10,2891134.0
2018-11,3132620.0
2018-12,3507661.0
2019-01,4454431.0
2019-02,4433658.0
2019-03,3673539.0
2019-04,3603626.0
2019-05,3144895.0
2019-06,3087273.0
2019-07,3271622.0
2019-08,4274649.0
2019-09,4098930.0
2019-10,3219251.0
2019-11,3070429.0
2019-12,3612546.0
2020-01,4359793.0
2020-02,4556458.0
2020-03,4046157.0
2020-04,3687900.0
2020-05,3255377.0
2020-06,3211239.0
2020-07,3572242.0
2020-08,3818409.0
2020-09,3735406.0
2020-10,2567204.0
2020-11,3218088.0
2020-12,3689241.0
2021-01,4514304.0
2021-02,4612506.0
2021-03,3666398.0
2021-04,3456490.0
2021-05,2982387.0
2021-06,3153204.0
2021-07,3514499.0
2021-08,4561508.0
2021-09,3773568.0
2021-10,3133320.0
2021-11,3235847.0
2021-12,3621237.0
2022-01,4383827.0
2022-02,4526835.0
2022-03,3893021.0
2022-04,3455894.0
2022-05,2901202.0
2022-06,3100496.0
2022-07,3843611.0
2022-08,4498966.0
2022-09,4013693.0
2022-10,3529067.0
2022-11,3247476.0
2022-12,3604822.0
