YYYY-MM,CTY_GAS_USQNT
2015-01,907603.0
2015-02,888016.0
2015-03,744065.0
2015-04,603859.0
2015-05,392591.0
2015-06,388981.0
2015-07,546843.0
2015-08,603082.0
2015-09,697047.0
2015-10,500632.0
2015-11,396267.0
2015-12,474982.0
2016-01,638072.0
2016-02,974933.0
2016-03,803852.0
2016-04,676008.0
2016-05,389531.0
2016-06,389181.0
2016-07,601442.0
2016-08,615452.0
2016-09,757635.0
2016-10,453127.0
2016-11,353208.0
2016-12,552097.0
2017-01,655295.0
2017-02,827885.0
2017-03,642257.0
2017-04,536198.0
2017-05,351777.0
2017-06,384978.0
2017-07,464514.0
2017-08,614903.0
2017-09,750246.0
2017-10,332264.0
2017-11,324770.0
2017-12,489408.0
2018-01,693849.0
2018-02,874119.0
2018-03,899525.0
2018-04,566714.0
2018-05,383946.0
2018-06,455757.0
2018-07,469698.0
2018-08,554274.0
2018-09,637431.0
2018-10,417315.0
2018-11,407299.0
2018-12,443956.0
2019-01,678263.0
2019-02,930623.0
2019-03,630961.0
2019-04,534350.0
2019-05,455616.0
2019-06,378074.0
2019-07,470918.0
2019-08,644217.0
2019-09,632843.0
2019-10,454614.0
2019-11,388677.0
2019-12,211532.0
2020-01,723973.0
2020-02,837889.0
2020-03,658204.0
2020-04,449959.0
2020-05,406274.0
2020-06,373271.0
2020-07,519151.0
2020-08,401526.0
2020-09,560233.0
2020-10,317202.0
2020-11,336710.0
2020-12,393212.0
2021-01,505506.0
2021-02,618507.0
2021-03,486523.0
2021-04,484392.0
2021-05,360033.0
2021-06,301265.0
2021-07,377000.0
2021-08,422206.0
2021-09,416576.0
2021-10,339424.0
2021-11,310920.0
2021-12,413177.0
2022-01,495435.0
2022-02,628573.0
2022-03,576413.0
2022-04,414981.0
2022-05,342370.0
2022-06,344489.0
2022-07,328748.0
2022-08,346229.0
2022-09,326792.0
2022-10,243685.0
2022-11,273322.0
2022-12,330135.0
