YYYY-MM,ELRW_USQNT
2015-01,56277.0
2015-02,48263.0
2015-03,40069.0
2015-04,40740.0
2015-05,31335.0
2015-06,32005.0
2015-07,31004.0
2015-08,35560.0
2015-09,31595.0
2015-10,30392.0
2015-11,35885.0
2015-12,45557.0
2016-01,42537.0
2016-02,41258.0
2016-03,34638.0
2016-04,28840.0
2016-05,24568.0
2016-06,25083.0
2016-07,20089.0
2016-08,21924.0
2016-09,20606.0
2016-10,20785.0
2016-11,23005.0
2016-12,24500.0
2017-01,25734.0
2017-02,26257.0
2017-03,13526.0
2017-04,11233.0
2017-05,8522.0
2017-06,8410.0
2017-07,9929.0
2017-08,8010.0
2017-09,6998.0
2017-10,9962.0
2017-11,13928.0
2017-12,17746.0
2018-01,20034.0
2018-02,18224.0
2018-03,11188.0
2018-04,9637.0
2018-05,8754.0
2018-06,8384.0
2018-07,9325.0
2018-08,10751.0
2018-09,8934.0
2018-10,8156.0
2018-11,10458.0
2018-12,11866.0
2019-01,14070.0
2019-02,12622.0
2019-03,10124.0
2019-04,9501.0
2019-05,8220.0
2019-06,8578.0
2019-07,9118.0
2019-08,10606.0
2019-09,9473.0
2019-10,8152.0
2019-11,10460.0
2019-12,12801.0
2020-01,13996.0
2020-02,13702.0
2020-03,10700.0
2020-04,10290.0
2020-05,8886.0
2020-06,9550.0
2020-07,9266.0
2020-08,10975.0
2020-09,10732.0
2020-10,10314.0
2020-11,12682.0
2020-12,17051.0
2021-01,16917.0
2021-02,14782.0
2021-03,10777.0
2021-04,10254.0
2021-05,9826.0
2021-06,10481.0
2021-07,10476.0
2021-08,11454.0
2021-09,10243.0
2021-10,9126.0
2021-11,10815.0
2021-12,12690.0
2022-01,16966.0
2022-02,15737.0
2022-03,12364.0
2022-04,11634.0
2022-05,10138.0
2022-06,10808.0
2022-07,12762.0
2022-08,13839.0
2022-09,11534.0
2022-10,10847.0
2022-11,13019.0
2022-12,18137.0
