YYYY-MM,CTY_GAS_USQNT
2015-01,6801499.0
2015-02,6767734.0
2015-03,5707911.0
2015-04,4857020.0
2015-05,3053767.0
2015-06,1792766.0
2015-07,1250677.0
2015-08,1116443.0
2015-09,970011.0
2015-10,1245423.0
2015-11,1788189.0
2015-12,3544335.0
2016-01,5344709.0
2016-02,6506449.0
2016-03,6086522.0
2016-04,4865995.0
2016-05,2506649.0
2016-06,1748679.0
2016-07,1251045.0
2016-08,1270525.0
2016-09,954072.0
2016-10,1235059.0
2016-11,1885585.0
2016-12,4314164.0
2017-01,5719170.0
2017-02,6792561.0
2017-03,5113121.0
2017-04,4419300.0
2017-05,2407206.0
2017-06,1446974.0
2017-07,1009006.0
2017-08,963789.0
2017-09,889373.0
2017-10,1036923.0
2017-11,1568058.0
2017-12,4162205.0
2018-01,5940359.0
2018-02,6614739.0
2018-03,5757055.0
2018-04,4248287.0
2018-05,2597616.0
2018-06,1628377.0
2018-07,1009222.0
2018-08,901840.0
2018-09,816720.0
2018-10,1096758.0
2018-11,2069243.0
2018-12,3764813.0
2019-01,5863159.0
2019-02,6012586.0
2019-03,5120167.0
2019-04,4164311.0
2019-05,2910755.0
2019-06,1738223.0
2019-07,1259348.0
2019-08,1188863.0
2019-09,1020291.0
2019-10,1161550.0
2019-11,1674779.0
2019-12,2242436.0
2020-01,5495519.0
2020-02,5763495.0
2020-03,4933964.0
2020-04,4185355.0
2020-05,3138249.0
2020-06,1698803.0
2020-07,1194672.0
2020-08,1186225.0
2020-09,387546.0
2020-10,305379.0
2020-11,1817946.0
2020-12,3099800.0
2021-01,5184300.0
2021-02,5603397.0
2021-03,4104967.0
2021-04,3109866.0
2021-05,2020008.0
2021-06,1324485.0
2021-07,932012.0
2021-08,828070.0
2021-09,776468.0
2021-10,778117.0
2021-11,1569187.0
2021-12,2829758.0
2022-01,4432070.0
2022-02,5068829.0
2022-03,4303585.0
2022-04,3312832.0
2022-05,1902666.0
2022-06,1120806.0
2022-07,1001342.0
2022-08,887816.0
2022-09,836901.0
2022-10,940787.0
2022-11,1797618.0
2022-12,3136539.0
