YYYY-MM,ELRW_USQNT
2015-01,2946276.0
2015-02,2877356.0
2015-03,2415070.0
2015-04,2402435.0
2015-05,2150805.0
2015-06,2287981.0
2015-07,2368805.0
2015-08,2902601.0
2015-09,2455554.0
2015-10,2136885.0
2015-11,2284312.0
2015-12,2524851.0
2016-01,2761720.0
2016-02,2894727.0
2016-03,2452656.0
2016-04,2285878.0
2016-05,2074837.0
2016-06,2239681.0
2016-07,2422255.0
2016-08,3085264.0
2016-09,2517136.0
2016-10,2076611.0
2016-11,2215209.0
2016-12,2433900.0
2017-01,2672158.0
2017-02,2771933.0
2017-03,1723507.0
2017-04,1689054.0
2017-05,1498392.0
2017-06,1597093.0
2017-07,1937241.0
2017-08,2118633.0
2017-09,1723683.0
2017-10,1563817.0
2017-11,1705942.0
2017-12,2014876.0
2018-01,2172580.0
2018-02,2262975.0
2018-03,1751074.0
2018-04,1708837.0
2018-05,1562581.0
2018-06,1691156.0
2018-07,1989281.0
2018-08,2730642.0
2018-09,1914742.0
2018-10,1540386.0
2018-11,1656303.0
2018-12,1896320.0
2019-01,2146545.0
2019-02,2063186.0
2019-03,1702618.0
2019-04,1729157.0
2019-05,1739518.0
2019-06,1840716.0
2019-07,1986750.0
2019-08,2667176.0
2019-09,2163221.0
2019-10,1774393.0
2019-11,1810844.0
2019-12,2031285.0
2020-01,2226016.0
2020-02,2185339.0
2020-03,1916155.0
2020-04,1847275.0
2020-05,1727487.0
2020-06,1901677.0
2020-07,1944677.0
2020-08,2307644.0
2020-09,1171605.0
2020-10,867389.0
2020-11,1807211.0
2020-12,1982022.0
2021-01,2268594.0
2021-02,2147828.0
2021-03,1761295.0
2021-04,1768934.0
2021-05,1663099.0
2021-06,1799808.0
2021-07,2135932.0
2021-08,2520409.0
2021-09,1901507.0
2021-10,1701357.0
2021-11,1718596.0
2021-12,1856491.0
2022-01,2127384.0
2022-02,2089713.0
2022-03,1758270.0
2022-04,1733441.0
2022-05,1575315.0
2022-06,1724704.0
2022-07,2665803.0
2022-08,2867470.0
2022-09,2317870.0
2022-10,2036887.0
2022-11,2033231.0
2022-12,2256789.0
