YYYY-MM,CTY_GAS_USQNT
2015-01,26152805.0
2015-02,23930831.0
2015-03,21290154.0
2015-04,16091507.0
2015-05,9867703.0
2015-06,5286882.0
2015-07,4374152.0
2015-08,3373120.0
2015-09,2978055.0
2015-10,4035298.0
2015-11,7198410.0
2015-12,13749882.0
2016-01,21462089.0
2016-02,25875227.0
2016-03,21846658.0
2016-04,15344200.0
2016-05,8954496.0
2016-06,4774883.0
2016-07,4282146.0
2016-08,3455647.0
2016-09,3559876.0
2016-10,3841223.0
2016-11,8274103.0
2016-12,15725789.0
2017-01,21698659.0
2017-02,25022409.0
2017-03,19458426.0
2017-04,14763547.0
2017-05,8404711.0
2017-06,4866519.0
2017-07,4117838.0
2017-08,3239159.0
2017-09,3608419.0
2017-10,3713177.0
2017-11,7772466.0
2017-12,16195755.0
2018-01,23758537.0
2018-02,24828300.0
2018-03,21462077.0
2018-04,13902779.0
2018-05,8806997.0
2018-06,5089569.0
2018-07,4343777.0
2018-08,3233740.0
2018-09,3345038.0
2018-10,4086501.0
2018-11,8916501.0
2018-12,14457213.0
2019-01,22645724.0
2019-02,22354238.0
2019-03,18402721.0
2019-04,14982877.0
2019-05,9950139.0
2019-06,5369976.0
2019-07,4262076.0
2019-08,3334117.0
2019-09,3190186.0
2019-10,3583201.0
2019-11,7140107.0
2019-12,2088435.0
2020-01,20546682.0
2020-02,21117006.0
2020-03,18476688.0
2020-04,14163443.0
2020-05,10449039.0
2020-06,5171018.0
2020-07,4222208.0
2020-08,3416781.0
2020-09,577633.0
2020-10,446420.0
2020-11,8915171.0
2020-12,14564157.0
2021-01,24352573.0
2021-02,23193151.0
2021-03,18227883.0
2021-04,12925853.0
2021-05,8799085.0
2021-06,5578129.0
2021-07,4047728.0
2021-08,3027676.0
2021-09,3113716.0
2021-10,3401551.0
2021-11,8474183.0
2021-12,14536518.0
2022-01,22352639.0
2022-02,24171959.0
2022-03,20428058.0
2022-04,14411075.0
2022-05,7687670.0
2022-06,4526521.0
2022-07,3370575.0
2022-08,2544108.0
2022-09,2837889.0
2022-10,3505969.0
2022-11,8268142.0
2022-12,13539691.0
