YYYY-MM,ELRW_USQNT
2015-01,7104642.0
2015-02,6892631.0
2015-03,6064273.0
2015-04,6097319.0
2015-05,5639474.0
2015-06,5823967.0
2015-07,6042663.0
2015-08,6991341.0
2015-09,6243321.0
2015-10,5391496.0
2015-11,5724035.0
2015-12,6184665.0
2016-01,6583062.0
2016-02,6619300.0
2016-03,5927350.0
2016-04,5764763.0
2016-05,5305976.0
2016-06,5579372.0
2016-07,5513774.0
2016-08,6713939.0
2016-09,6228648.0
2016-10,4912917.0
2016-11,5203152.0
2016-12,5612262.0
2017-01,6055285.0
2017-02,6061697.0
2017-03,5043381.0
2017-04,5134812.0
2017-05,4730657.0
2017-06,4943107.0
2017-07,5461242.0
2017-08,6426822.0
2017-09,5561994.0
2017-10,4628687.0
2017-11,4358404.0
2017-12,5376090.0
2018-01,6059703.0
2018-02,6207832.0
2018-03,5324729.0
2018-04,5243817.0
2018-05,4820895.0
2018-06,4939839.0
2018-07,5230565.0
2018-08,7466931.0
2018-09,6676341.0
2018-10,4713639.0
2018-11,4901011.0
2018-12,5249689.0
2019-01,6041585.0
2019-02,6016582.0
2019-03,5227172.0
2019-04,5391219.0
2019-05,5168493.0
2019-06,5149563.0
2019-07,5305231.0
2019-08,6634037.0
2019-09,6644644.0
2019-10,5221079.0
2019-11,5104429.0
2019-12,5504660.0
2020-01,6122347.0
2020-02,6133523.0
2020-03,5633658.0
2020-04,5577074.0
2020-05,5217523.0
2020-06,5287413.0
2020-07,5590334.0
2020-08,6065592.0
2020-09,1870037.0
2020-10,1337691.0
2020-11,5232731.0
2020-12,5618161.0
2021-01,6454984.0
2021-02,6436438.0
2021-03,5441713.0
2021-04,5538982.0
2021-05,5077823.0
2021-06,5287088.0
2021-07,5641209.0
2021-08,7592715.0
2021-09,6253343.0
2021-10,5175156.0
2021-11,5314953.0
2021-12,5474123.0
2022-01,6299406.0
2022-02,6384922.0
2022-03,5649317.0
2022-04,5639859.0
2022-05,4906457.0
2022-06,5058412.0
2022-07,5888724.0
2022-08,7059548.0
2022-09,6468241.0
2022-10,5243952.0
2022-11,5118737.0
2022-12,5427937.0
