YYYY-MM,CTY_GAS_USQNT
2015-01,100797.0
2015-02,109643.0
2015-03,99038.0
2015-04,86746.0
2015-05,58698.0
2015-06,38268.0
2015-07,32241.0
2015-08,30821.0
2015-09,31421.0
2015-10,36672.0
2015-11,54966.0
2015-12,86380.0
2016-01,118517.0
2016-02,145279.0
2016-03,107782.0
2016-04,63106.0
2016-05,44457.0
2016-06,34060.0
2016-07,27281.0
2016-08,33434.0
2016-09,25980.0
2016-10,30882.0
2016-11,51194.0
2016-12,108778.0
2017-01,117204.0
2017-02,145376.0
2017-03,78518.0
2017-04,65744.0
2017-05,34757.0
2017-06,28335.0
2017-07,22661.0
2017-08,22266.0
2017-09,24919.0
2017-10,28792.0
2017-11,52461.0
2017-12,94249.0
2018-01,120693.0
2018-02,130151.0
2018-03,100451.0
2018-04,67141.0
2018-05,41878.0
2018-06,32448.0
2018-07,24438.0
2018-08,39084.0
2018-09,43114.0
2018-10,51897.0
2018-11,85107.0
2018-12,115273.0
2019-01,145949.0
2019-02,138450.0
2019-03,108914.0
2019-04,93018.0
2019-05,60881.0
2019-06,49369.0
2019-07,41569.0
2019-08,43881.0
2019-09,42532.0
2019-10,44226.0
2019-11,83749.0
2019-12,34349.0
2020-01,140152.0
2020-02,124235.0
2020-03,105781.0
2020-04,81940.0
2020-05,66673.0
2020-06,52525.0
2020-07,44658.0
2020-08,43152.0
2020-09,46512.0
2020-10,52427.0
2020-11,82303.0
2020-12,113160.0
2021-01,145963.0
2021-02,134562.0
2021-03,105711.0
2021-04,81836.0
2021-05,60837.0
2021-06,49851.0
2021-07,42368.0
2021-08,39905.0
2021-09,37899.0
2021-10,38530.0
2021-11,72211.0
2021-12,100668.0
2022-01,148601.0
2022-02,151015.0
2022-03,123254.0
2022-04,105296.0
2022-05,64145.0
2022-06,52011.0
2022-07,45604.0
2022-08,43311.0
2022-09,37474.0
2022-10,48879.0
2022-11,76452.0
2022-12,108514.0
