YYYY-MM,ELRW_USQNT
2015-01,384704.0
2015-02,362872.0
2015-03,305909.0
2015-04,284685.0
2015-05,231911.0
2015-06,250599.0
2015-07,260328.0
2015-08,299663.0
2015-09,246612.0
2015-10,236477.0
2015-11,300808.0
2015-12,357713.0
2016-01,386880.0
2016-02,377290.0
2016-03,310005.0
2016-04,258302.0
2016-05,215640.0
2016-06,229782.0
2016-07,254364.0
2016-08,303306.0
2016-09,236389.0
2016-10,226915.0
2016-11,298887.0
2016-12,347776.0
2017-01,380891.0
2017-02,384106.0
2017-03,251350.0
2017-04,223922.0
2017-05,189026.0
2017-06,197604.0
2017-07,211355.0
2017-08,207323.0
2017-09,170828.0
2017-10,183873.0
2017-11,306094.0
2017-12,355823.0
2018-01,387371.0
2018-02,385642.0
2018-03,281341.0
2018-04,254873.0
2018-05,221841.0
2018-06,229682.0
2018-07,269092.0
2018-08,323200.0
2018-09,237830.0
2018-10,230275.0
2018-11,289154.0
2018-12,338490.0
2019-01,389821.0
2019-02,350903.0
2019-03,273277.0
2019-04,261995.0
2019-05,217954.0
2019-06,231794.0
2019-07,253252.0
2019-08,307646.0
2019-09,245623.0
2019-10,222596.0
2019-11,272609.0
2019-12,319748.0
2020-01,321942.0
2020-02,304075.0
2020-03,245532.0
2020-04,227980.0
2020-05,194057.0
2020-06,225479.0
2020-07,214593.0
2020-08,263832.0
2020-09,232061.0
2020-10,201336.0
2020-11,251241.0
2020-12,303357.0
2021-01,341579.0
2021-02,307697.0
2021-03,225902.0
2021-04,203821.0
2021-05,189099.0
2021-06,214599.0
2021-07,260945.0
2021-08,285219.0
2021-09,228604.0
2021-10,216264.0
2021-11,252311.0
2021-12,289536.0
2022-01,353320.0
2022-02,335205.0
2022-03,260278.0
2022-04,248237.0
2022-05,241548.0
2022-06,274030.0
2022-07,337514.0
2022-08,333409.0
2022-09,253225.0
2022-10,245038.0
2022-11,270754.0
2022-12,357869.0
