대지위치,건축면적,주구조,용도,지붕구조,사용승인일자
대전광역시 동구 가양동 0,0.0,벽돌구조,단독주택,기와,1974-09-18
대전광역시 동구 가양동 10,3013.59,철근콘크리트구조,교육연구시설,(철근)콘크리트,
대전광역시 동구 가양동 100-10,208.71,철근콘크리트구조,공동주택,(철근)콘크리트,1994-07-20
대전광역시 동구 가양동 100-2,150.17,철근콘크리트구조,공동주택,(철근)콘크리트,1994-07-20
대전광역시 동구 가양동 101-3,0.0,벽돌구조,단독주택,기타지붕,1995-09-18
대전광역시 동구 가양동 102,89.82,일반목구조,단독주택,기타지붕,1942
대전광역시 동구 가양동 102-7,29.75,일반목구조,단독주택,기타지붕,1924
대전광역시 동구 가양동 104-2,29.09,블록구조,단독주택,슬레이트,1976-03-09
대전광역시 동구 가양동 105-2,140.53,철근콘크리트구조,단독주택,(철근)콘크리트,2011-02-22
대전광역시 동구 가양동 105-5,100.08,철근콘크리트구조,단독주택,(철근)콘크리트,2011-12-14
대전광역시 동구 가양동 105-7,134.1,철근콘크리트구조,단독주택,(철근)콘크리트,2011-02-23
대전광역시 동구 가양동 105-8,258.0,철근콘크리트구조,단독주택,(철근)콘크리트,2010-11-17
대전광역시 동구 가양동 105-9,265.45,철근콘크리트구조,단독주택,(철근)콘크리트,2010-11-18
대전광역시 동구 가양동 106-1,336.98,철근콘크리트구조,교육연구시설,(철근)콘크리트,2002-06-04
대전광역시 동구 가양동 106-2,150.09,철근콘크리트구조,단독주택,(철근)콘크리트,2019-01-14
대전광역시 동구 가양동 107-2,114.68,벽돌구조,단독주택,(철근)콘크리트,1992-05-09
대전광역시 동구 가양동 107-3,241.78,철근콘크리트구조,제1종근린생활시설,(철근)콘크리트,1980-12-31
대전광역시 동구 가양동 110-1,143.86,벽돌구조,제2종근린생활시설,(철근)콘크리트,1993-07-05
대전광역시 동구 가양동 112-1,69.95,벽돌구조,단독주택,(철근)콘크리트,1976-11-13
대전광역시 동구 가양동 112-3,105.56,벽돌구조,단독주택,(철근)콘크리트,1985-05-04
대전광역시 동구 가양동 112-4,120.81,벽돌구조,단독주택,(철근)콘크리트,1983-06-28
대전광역시 동구 가양동 113-1,167.55,철근콘크리트구조,단독주택,(철근)콘크리트,2015-06-08
대전광역시 동구 가양동 113-10,26.45,일반목구조,단독주택,기타지붕,1951-12-20
대전광역시 동구 가양동 113-3,202.65,철근콘크리트구조,제1종근린생활시설,(철근)콘크리트,2023-01-18
대전광역시 동구 가양동 113-7,94.79,벽돌구조,단독주택,(철근)콘크리트,1981-08-03
대전광역시 동구 가양동 113-9,149.72,철근콘크리트구조,단독주택,(철근)콘크리트,2016-03-10
대전광역시 동구 가양동 116,0.0,철근콘크리트구조,교육연구시설,(철근)콘크리트,1984-11-15
대전광역시 동구 가양동 117,33.85,일반목구조,단독주택,기타지붕,1951-12-21
대전광역시 동구 가양동 121-4,121.09,철근콘크리트구조,단독주택,(철근)콘크리트,2012-03-27
대전광역시 동구 가양동 122,191.12,일반철골구조,제2종근린생활시설,슬레이트,1989-08-11
대전광역시 동구 가양동 122-2,336.0,일반철골구조,창고시설,기타지붕,2001-12-24
대전광역시 동구 가양동 124-3,384.27,철근콘크리트구조,단독주택,기타지붕,1994-10-12
대전광역시 동구 가양동 125-1,105.12,철근콘크리트구조,노유자시설,(철근)콘크리트,2011-06-30
대전광역시 동구 가양동 127,100.75999999999999,일반목구조,단독주택,슬레이트,1943
대전광역시 동구 가양동 128,38.81,일반목구조,단독주택,기타지붕,1951-12-21
대전광역시 동구 가양동 13-1,783.76,철근콘크리트구조,노유자시설,(철근)콘크리트,1997-01-13
대전광역시 동구 가양동 138,43.97,일반목구조,단독주택,기타지붕,1950
대전광역시 동구 가양동 145-1,186.87,철근콘크리트구조,공동주택,(철근)콘크리트,1994-10-31
대전광역시 동구 가양동 145-11,76.66,벽돌구조,제1종근린생활시설,(철근)콘크리트,1979-09-01
대전광역시 동구 가양동 145-13,64.9,벽돌구조,단독주택,(철근)콘크리트,1986-12-09
대전광역시 동구 가양동 145-14,76.53,벽돌구조,제2종근린생활시설,(철근)콘크리트,1979-08-23
대전광역시 동구 가양동 145-16,152.615,철근콘크리트구조,제1종근린생활시설,(철근)콘크리트,1991-09-24
대전광역시 동구 가양동 145-17,110.55,철근콘크리트구조,단독주택,(철근)콘크리트,2011-12-07
대전광역시 동구 가양동 145-18,115.25,철근콘크리트구조,단독주택,(철근)콘크리트,2013-03-15
대전광역시 동구 가양동 145-2,317.74,경량철골구조,단독주택,기타지붕,2020-12-23
대전광역시 동구 가양동 145-3,76.42,벽돌구조,단독주택,(철근)콘크리트,1989-09-25
대전광역시 동구 가양동 145-4,67.2,벽돌구조,단독주택,(철근)콘크리트,1979-12-28
대전광역시 동구 가양동 145-5,115.25,철근콘크리트구조,단독주택,(철근)콘크리트,2013-03-15
대전광역시 동구 가양동 145-6,133.29,철근콘크리트구조,단독주택,(철근)콘크리트,2010-03-02
대전광역시 동구 가양동 145-7,109.64,철근콘크리트구조,단독주택,(철근)콘크리트,2002-09-04
대전광역시 동구 가양동 146-1,234.27,철근콘크리트구조,제2종근린생활시설,(철근)콘크리트,1992-12-30
대전광역시 동구 가양동 146-10,144.45,철근콘크리트구조,단독주택,(철근)콘크리트,2002-02-15
대전광역시 동구 가양동 146-11,64.2,벽돌구조,단독주택,(철근)콘크리트,1981-04-30
대전광역시 동구 가양동 146-12,486.21,벽돌구조,제2종근린생활시설,(철근)콘크리트,1980-07-14
대전광역시 동구 가양동 146-13,133.68,벽돌구조,공동주택,(철근)콘크리트,1982-08-12
대전광역시 동구 가양동 146-14,189.53,철근콘크리트구조,제2종근린생활시설,(철근)콘크리트,1993-09-20
대전광역시 동구 가양동 146-15,243.3,철근콘크리트구조,제2종근린생활시설,(철근)콘크리트,2004-09-15
대전광역시 동구 가양동 146-17,145.44,철근콘크리트구조,단독주택,(철근)콘크리트,2015-06-23
대전광역시 동구 가양동 146-18,182.55,철근콘크리트구조,제2종근린생활시설,(철근)콘크리트,2004-01-14
대전광역시 동구 가양동 146-19,63.6,철근콘크리트구조,단독주택,(철근)콘크리트,2011-09-01
대전광역시 동구 가양동 146-20,83.4,벽돌구조,단독주택,(철근)콘크리트,1980-02-04
대전광역시 동구 가양동 146-21,78.79,벽돌구조,단독주택,(철근)콘크리트,1980-05-22
대전광역시 동구 가양동 146-22,84.86,벽돌구조,단독주택,(철근)콘크리트,1980-01-11
대전광역시 동구 가양동 146-23,89.7,철근콘크리트구조,단독주택,(철근)콘크리트,2015-11-16
대전광역시 동구 가양동 146-25,167.53,철근콘크리트구조,공동주택,(철근)콘크리트,1993-12-30
대전광역시 동구 가양동 146-26,103.47,벽돌구조,단독주택,(철근)콘크리트,1986-10-07
대전광역시 동구 가양동 146-27,112.45,철근콘크리트구조,단독주택,(철근)콘크리트,2013-08-26
대전광역시 동구 가양동 146-28,113.27,철근콘크리트구조,단독주택,(철근)콘크리트,2015-01-16
