대지위치,건축면적,주구조,용도,지붕구조,사용승인일자
대전광역시 중구 구완동 102,93.74000000000001,기타구조,단독주택,슬레이트,1969
대전광역시 중구 구완동 106,96.78,경량철골구조,단독주택,기타지붕,2019-10-07
대전광역시 중구 구완동 115-2,85.38,벽돌구조,단독주택,슬레이트,1925
대전광역시 중구 구완동 116,126.42,벽돌구조,단독주택,기와,1999-12-10
대전광역시 중구 구완동 121,65.78,일반목구조,제2종근린생활시설,기타지붕,2023-12-06
대전광역시 중구 구완동 122,81.57,일반목구조,단독주택,슬레이트,1934
대전광역시 중구 구완동 122-1,112.45,일반목구조,단독주택,슬레이트,1914
대전광역시 중구 구완동 124,129.64,철근콘크리트구조,단독주택,(철근)콘크리트,2023-12-29
대전광역시 중구 구완동 124-1,65.77,철근콘크리트구조,노유자시설,(철근)콘크리트,2013-07-09
대전광역시 중구 구완동 124-2,115.56,철근콘크리트구조,단독주택,(철근)콘크리트,2024-01-12
대전광역시 중구 구완동 125,102.44,철근콘크리트구조,단독주택,(철근)콘크리트,2013-10-22
대전광역시 중구 구완동 126,109.22,벽돌구조,단독주택,(철근)콘크리트,1904
대전광역시 중구 구완동 127,105.2,기타구조,단독주택,슬레이트,1894
대전광역시 중구 구완동 128,179.39,일반목구조,단독주택,기타지붕,2011-06-17
대전광역시 중구 구완동 128-1,143.3,일반목구조,단독주택,슬레이트,1924
대전광역시 중구 구완동 129,165.68,벽돌구조,단독주택,슬레이트,
대전광역시 중구 구완동 133-1,48.38,벽돌구조,단독주택,슬레이트,1935
대전광역시 중구 구완동 133-4,99.61,철근콘크리트구조,단독주택,(철근)콘크리트,2012-12-05
대전광역시 중구 구완동 134-1,159.35999999999999,철근콘크리트구조,단독주택,(철근)콘크리트,2019-12-19
대전광역시 중구 구완동 134-3,94.49,일반목구조,단독주택,슬레이트,1904
대전광역시 중구 구완동 135,140.21,일반목구조,단독주택,슬레이트,1935
대전광역시 중구 구완동 137-2,131.12,일반목구조,단독주택,기타지붕,1935
