ADDR,ADDR_CD,YEAR,MONTH,ELE,GAS,ELE_DSA,GAS_DSA
대전광역시 대덕구 갈전동,3023012100,2020,1,19429.0,0.0,9.05877901,0.0
대전광역시 대덕구 갈전동,3023012100,2020,2,6780.0,0.0,3.16117771,0.0
대전광역시 대덕구 갈전동,3023012100,2020,3,4929.0,0.0,2.29814822,0.0
대전광역시 대덕구 갈전동,3023012100,2020,4,5154.0,0.0,2.40305455,0.0
대전광역시 대덕구 갈전동,3023012100,2020,5,5078.0,0.0,2.36761952,0.0
대전광역시 대덕구 갈전동,3023012100,2020,6,4663.0,0.0,2.17412562,0.0
대전광역시 대덕구 갈전동,3023012100,2020,7,4685.0,0.0,2.18438312,0.0
대전광역시 대덕구 갈전동,3023012100,2020,8,5031.0,0.0,2.34570577,0.0
대전광역시 대덕구 갈전동,3023012100,2020,9,5700.0,0.0,2.65762727,0.0
대전광역시 대덕구 갈전동,3023012100,2020,10,4531.0,0.0,2.11258056,0.0
대전광역시 대덕구 갈전동,3023012100,2020,11,5236.0,0.0,2.44128709,0.0
대전광역시 대덕구 갈전동,3023012100,2020,12,5414.0,0.0,2.52427966,0.0
대전광역시 대덕구 갈전동,3023012100,2021,1,6956.0,0.0,3.2432377800000003,0.0
대전광역시 대덕구 갈전동,3023012100,2021,2,7180.0,0.0,3.34767787,0.0
대전광역시 대덕구 갈전동,3023012100,2021,3,5719.0,0.0,2.66648604,0.0
대전광역시 대덕구 갈전동,3023012100,2021,4,5957.0,0.0,2.77745364,0.0
대전광역시 대덕구 갈전동,3023012100,2021,5,5228.0,0.0,2.43755708,0.0
대전광역시 대덕구 갈전동,3023012100,2021,6,4587.0,0.0,2.13869058,0.0
대전광역시 대덕구 갈전동,3023012100,2021,7,4798.0,0.0,2.23706942,0.0
대전광역시 대덕구 갈전동,3023012100,2021,8,6314.0,0.0,2.9439050200000003,0.0
대전광역시 대덕구 갈전동,3023012100,2021,9,4956.0,0.0,2.31073698,0.0
대전광역시 대덕구 갈전동,3023012100,2021,10,4280.0,0.0,1.9955517,0.0
대전광역시 대덕구 갈전동,3023012100,2021,11,4678.0,0.0,2.18111937,0.0
대전광역시 대덕구 갈전동,3023012100,2021,12,5461.0,0.0,2.54619343,0.0
대전광역시 대덕구 갈전동,3023012100,2022,1,6040.0,0.0,2.81615242,0.0
대전광역시 대덕구 갈전동,3023012100,2022,2,6953.0,0.0,3.24183902,0.0
대전광역시 대덕구 갈전동,3023012100,2022,3,5170.0,0.0,2.41051457,0.0
대전광역시 대덕구 갈전동,3023012100,2022,4,5064.0,0.0,2.36109203,0.0
