지점,지점명,일시,평균기온(°C),평균상대습도(%),월합강수량(00~24h만)(mm),최심적설(cm)
133,대전,2020-01,2.7,69,78.5,
133,대전,2020-02,3.6,68,91.2,2
133,대전,2020-03,8.5,56,24.4,
133,대전,2020-04,11.5,51,17.8,
133,대전,2020-05,18.8,71,80.4,
133,대전,2020-06,24.1,76,192.5,
133,대전,2020-07,23.6,88,544.9,
133,대전,2020-08,27.5,87,361.6,
133,대전,2020-09,21.2,80,173.6,
133,대전,2020-10,14.2,70,3.2,
133,대전,2020-11,8.6,69,41.8,
133,대전,2020-12,.5,65,4.1,2
133,대전,2021-01,-1,67,23.6,7.6
133,대전,2021-02,4,58,14.1,5.7
133,대전,2021-03,9.6,65,95.2,
133,대전,2021-04,14.7,55,47.4,
133,대전,2021-05,17.7,72,134.2,
133,대전,2021-06,23.5,76,105.9,
133,대전,2021-07,27.8,79,151.8,
133,대전,2021-08,25.8,84,289.2,
133,대전,2021-09,22.4,81,161.2,
133,대전,2021-10,15.7,79,40.8,
133,대전,2021-11,8.9,76,41.7,
133,대전,2021-12,1.9,70,4.4,2.3
133,대전,2022-01,-.8,54,1.2,1
133,대전,2022-02,.1,49,1.4,.4
133,대전,2022-03,8.3,59,74,
133,대전,2022-04,14.9,52,69.7,
133,대전,2022-05,19.4,50,8.1,
133,대전,2022-06,24.1,67,117.6,
133,대전,2022-07,27,75,195,
133,대전,2022-08,25.7,79,496.1,
133,대전,2022-09,21.8,69,90.2,
133,대전,2022-10,14.3,68,89.3,
133,대전,2022-11,9.5,64,45.8,
133,대전,2022-12,-2,62,14.7,3.8
