addr,total,households
원동,401,259
정동,889,752
중동,676,488
소제동,1530,953
신안동,656,455
인동,7004,3283
신흥동,8126,3617
효동,2947,1276
천동,8452,3186
가오동,12595,4999
판암1동,11711,5637
삼정동,382,265
판암2동,8165,5169
용운동,21534,10263
대동,14225,6153
자양동,10922,6841
가양1동,13118,6896
가양2동,18355,9231
용전동,20294,11664
성남동,11227,5349
홍도동,10604,5717
삼성동,13617,6536
추동,363,169
비룡동,251,133
주산동,181,90
용계동,0,0
마산동,82,44
효평동,162,96
직동,85,51
세천동,558,292
신상동,195,114
신하동,252,133
신촌동,44,26
주촌동,71,38
내탑동,2,1
사성동,37,22
오동,51,30
낭월동,10078,4342
대별동,504,281
이사동,350,208
대성동,7708,2827
장척동,59,31
소호동,149,81
구도동,97,61
삼괴동,360,197
상소동,376,218
하소동,307,166
